index	pair_ID	pair_type	sentence_A	sentence_A_expRule	sentence_B	sentence_B_expRule	relatedness_score	entailment_label	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set	jpg
836	6361	S1S2_inter	The woman in a red costume is leaning against a brick wall and playing an instrument	S1_null	An instrument is being played by a woman in a red dress	S2_null	3.8	NEUTRAL	A_neutral_B	B_neutral_A	a woman wearing a red costume plays an instrument against a brick wall	a woman in a red dress playing an instrument	FLICKR	FLICKR	TEST	2836325261_a3bf5c59be.jpg#4
837	6365	S1S3_intra	The child is playing with toys outdoors	S1_null	The child is playing with toys indoors	S3_so	3.5	NEUTRAL	A_contradicts_B	B_neutral_A	the bundled up child is playing with toys outdoors	the bundled up child is playing with toys outdoors	FLICKR	FLICKR	TEST	3226796100_08c49cfa5c.jpg#4
858	6400	S1S3_inter	A dog is herding a pack of white sheep on a dusty farm	S1_null	A sheepdog is dispersing a herd of sheep	S3_null	4.4	NEUTRAL	A_neutral_B	B_neutral_A	a sheepdog is rounding up a herd of sheep	a wolf-like dog herds a pack of white sheep on a dusty farm	FLICKR	FLICKR	TEST	843616798_5ab0ecb525.jpg#3
864	6414	S1S1_inter	A black man is break dancing on the pavement	S1_null	The dark skinned male is standing on one hand in front of a yellow building	S1_null	3.9	NEUTRAL	A_neutral_B	B_neutral_A	a darked skinned male is standing on one palm in front of a yellow building	this black man appears to be break dancing on the pavement	FLICKR	FLICKR	TEST	2529116152_4331dabf50.jpg#0
894	6430	S1S4_intra	The man is playing the guitar and has the guitar case open for donations	S1_null	The man is opening the guitar for donations and plays with the case	S4_ws	2.7	NEUTRAL	A_neutral_B	B_contradicts_A	a man plays his guitar with the case open for donations	a man plays his guitar with the case open for donations	FLICKR	FLICKR	TEST	3315353266_70f0bbb1c3.jpg#4
920	6485	S1S1_inter	A person is standing in a vast field of glacial ice	S1_null	The person is standing on white ice	S1_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	a person stands in a vast field of glacial ice	the person is standing on white ice	FLICKR	FLICKR	TEST	321229104_3cbaf0f51c.jpg#1
928	6494	S1S1_inter	A woman is snowboarding down an incline and another woman is standing behind her	S1_null	A blond boy is sliding down a sand dune on a skateboard	S1_null	1.1	NEUTRAL	A_neutral_B	B_neutral_A	a blond boy slides down a sand dune on a skateboard with no wheels	a woman is snowboarding down an incline while another woman stands behind	FLICKR	FLICKR	TEST	3328646934_5cca4cebce.jpg#0
931	6505	S1S1_inter	The man is taking a picture of himself and another guy	S1_null	A man is holding up an electronic device	S1_null	3.4	ENTAILMENT	A_entails_B	B_neutral_A	a man takes a picture of himself and another guy	a man holds up an electronic device while he and another male look on	FLICKR	FLICKR	TEST	3042484940_0975a5e486.jpg#2
943	6522	S1S2_inter	The sun is shining on the face of the girl who is in a yellow dress	S1_null	Children are surrounding a girl in a brown dress who is closing her eyes	S2_null	1.8	NEUTRAL	A_neutral_B	B_neutral_A	a girl in a yellow dress with the sun shining on her face	a girl in a brown dress surrounded by children closes her eyes	FLICKR	FLICKR	TEST	1211015912_9f3ee3a995.jpg#1
945	6524	S1S4_inter	The sun is shining on the face of the girl who is in a yellow dress	S1_null	A girl is surrounding brown dressed children who are closing the eyes	S4_null	1.9	NEUTRAL	A_neutral_B	B_neutral_A	a girl in a yellow dress with the sun shining on her face	a girl in a brown dress surrounded by children closes her eyes	FLICKR	FLICKR	TEST	1211015912_9f3ee3a995.jpg#1
960	6556	S1S3_intra	Two people are looking at a gold statue	S1_null	Two people are ignoring the nearby gold statue	S3_so	3.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	two people look up towards a gold statue	two people look up towards a gold statue	FLICKR	FLICKR	TEST	201682811_105241dee3.jpg#2
970	6573	S1S3_inter	A woman is wearing a blue helmet and is riding a bicycle in a parking lot	S1_null	The bicyclist is not riding on a city street	S3_null	3.3	ENTAILMENT	A_entails_B	B_neutral_A	a woman wearing a blue helmet rides her bicycle in a parking lot	a bicyclist riding on a city street	FLICKR	FLICKR	TEST	1142847777_2a0c1c2551.jpg#4
981	6587	S1S3_intra	A young girl is standing on one leg	S1_null	A young girl is standing on both legs	S3_so	4.0	CONTRADICTION	A_contradicts_B	B_contradicts_A	a young girl stands on one leg	a young girl stands on one leg	FLICKR	FLICKR	TEST	2477623312_58e8e8c8af.jpg#2
1010	6639	S1S1_inter	A horse is leaping a hurdle and has a rider on its back	S1_null	A horse and its rider are leaping over a barrier	S1_null	4.6	ENTAILMENT	A_entails_B	B_entails_A	a horse leaps a hurdle with a rider on its back	horse and rider leap over a barrier	FLICKR	FLICKR	TEST	3211581957_df2f7e2236.jpg#2
1014	6643	S1S3_intra	A football player in a red and white uniform is being lifted by two teammates	S1_null	A football player in a red and white uniform is being pulled down by two teammates	S3_so	3.2	CONTRADICTION	A_contradicts_B	B_contradicts_A	a sooners football player in his red and white uniform being lifted by two teamates dressed the same	a sooners football player in his red and white uniform being lifted by two teamates dressed the same	FLICKR	FLICKR	TEST	241347214_5f19e7998c.jpg#0
1040	6693	S1S2_inter	Four middle eastern children, three girls and one boy, are climbing on the grotto with a pink interior	S1_null	A group of kids is playing on a structure which is colorful	S2_null	3.785	ENTAILMENT	A_entails_B	B_neutral_A	four middle eastern children, three girls and one boy, climb on a grotto with a pink interior	a group of kids play on a colorful structure	FLICKR	FLICKR	TEST	509241560_00e5b20562.jpg#3
1061	6732	S1S3_inter	A child is making a snow ball	S1_null	There is no kid in orange playing outside with a snowball	S3_null	3.2	NEUTRAL	A_contradicts_B	B_neutral_A	a child makes a ball out of snow	a kid in orange plays with a ball of snow outside	FLICKR	FLICKR	TEST	2052702658_da1204f6d1.jpg#3
1072	6753	S1S1_inter	Two people are sitting in lawn chairs and are reading books	S1_null	Two people in two chairs are reading	S1_null	4.5	ENTAILMENT	A_entails_B	B_neutral_A	two people in lawn chairs reading books	two people in chairs reading	FLICKR	FLICKR	TEST	2518853257_02f30e282e.jpg#2
1109	6820	S1S1_inter	A man on a bicycle is riding on the beach	S1_null	A person is riding a bicycle in the sand beside the ocean	S1_null	4.5	ENTAILMENT	A_entails_B	B_neutral_A	a man on a bicycle riding on the beach	a person rides his bicycle in the sand beside the ocean	FLICKR	FLICKR	TEST	2137789511_69a6c6afa8.jpg#0
1119	6836	S1S2_inter	The kids are chasing each other in the sand	S1_null	The little boy is running on the ground and playing with a little girl	S2_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	two kids chasing each other in the sand	a little boy is running on the round playing with a little girl	FLICKR	FLICKR	TEST	2776029171_5abdd5a22f.jpg#3
1131	6860	S1S1_inter	A dog is running up a grassy hill	S1_null	A dog is running uphill	S1_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	a dog running uphill	a dog is running up a grassy hill	FLICKR	FLICKR	TEST	3361411074_83f27d2a1c.jpg#3
1141	6878	S1S1_inter	Two white dogs are running and jumping along a beach	S1_null	Two dogs are playing on the beach	S1_null	4.185	ENTAILMENT	A_entails_B	B_neutral_A	two dogs playing on the beach	two white dogs are running and jumping along a beach with the ocean behind them	FLICKR	FLICKR	TEST	2056042552_f59e338533.jpg#1
1142	6878	S1S1_inter	Two white dogs are running and jumping along a beach	S1_null	Two dogs are playing on the beach	S1_null	4.185	ENTAILMENT	A_entails_B	B_neutral_A	two dogs playing on the beach	two white dogs are running and jumping along a beach with the ocean behind them	FLICKR	FLICKR	TEST	3585487286_ef9a8d4c56.jpg#2
1161	6917	S1S4_intra	A man is holding a sign and is seeking money	S1_null	A man is seeking a sign and is holding some money	S4_ws	3.0	NEUTRAL	A_neutral_B	B_neutral_A	a man holds a sign seeking money	a man holds a sign seeking money	FLICKR	FLICKR	TEST	518251319_40e031e818.jpg#3
1166	6930	S1S2_inter	A snowboarder is doing a flip over a mound of snow	S1_null	Somebody is leaping in the air on a board	S2_null	3.6	ENTAILMENT	A_entails_B	B_neutral_A	a snowboarder is doing a flip over a mound of snow	somebody in the air on a board	FLICKR	FLICKR	TEST	2971431335_e192613db4.jpg#0
1173	6949	S1S3_intra	A blonde boy in green is sitting on a swing	S1_null	A blonde boy in green is standing on a swing	S3_so	4.3	CONTRADICTION	A_contradicts_B	B_contradicts_A	a blonde boy in green is on a swing	a blonde boy in green is on a swing	FLICKR	FLICKR	TEST	2362481035_a7600875d0.jpg#0
1204	7010	S1S2_inter	A white dog is standing on fallen leaves	S1_null	One white dog is standing on the leaves on the ground	S2_null	4.5	ENTAILMENT	A_entails_B	B_entails_A	a white dog standing on fallen leaves	a white dog standing on leaves on the ground	FLICKR	FLICKR	TEST	3439243433_d5f3508612.jpg#1
1208	7012	S1S2_inter	A white dog is standing on the leaves on the ground	S1_null	A dog, which is white, is standing on fallen leaves	S2_null	4.8	ENTAILMENT	A_entails_B	B_entails_A	a white dog standing on leaves on the ground	a white dog standing on fallen leaves	FLICKR	FLICKR	TEST	3439243433_d5f3508612.jpg#2
1228	7042	S1S2_inter	A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching	S1_null	Blue and black pants are being worn by the motocross rider	S2_null	3.9	ENTAILMENT	A_entails_B	B_neutral_A	a biker with a blue jacket, black pants, and white helmet driving on dirt while people watch	the motocross rider wearing blue and black pants	FLICKR	FLICKR	TEST	3458559770_12cf9f134e.jpg#0
1240	7067	S1S3_intra	A man on inline skates is skating at a skate park	S1_null	A man on inline skates is resting at a skate park	S3_so	3.65	NEUTRAL	A_neutral_B	B_neutral_A	a man on inline-skates at a skate park	a man on inline-skates at a skate park	FLICKR	FLICKR	TEST	3625049113_554d82c2a1.jpg#0
1242	7068	S1S2_inter	A rollerblader is performing a trick on a ramp	S1_null	A man on inline skates is skating at a park built for skating	S2_null	3.915	NEUTRAL	A_neutral_B	B_neutral_A	a rollerblader is performing a trick on a ramp	a man on inline-skates at a skate park	FLICKR	FLICKR	TEST	3625049113_554d82c2a1.jpg#2
1244	7072	S1S1_inter	A rollerblader is performing a trick on a ramp	S1_null	A man on inline skates is skating at a skate park	S1_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	a rollerblader is performing a trick on a ramp	a man on inline-skates at a skate park	FLICKR	FLICKR	TEST	3625049113_554d82c2a1.jpg#2
1268	7106	S1S4_intra	A small girl is riding in a toy car	S1_null	A small toy girl is in a riding car	S4_ws	2.7	NEUTRAL	A_neutral_B	B_neutral_A	small girl riding in play car	small girl riding in play car	FLICKR	FLICKR	TEST	2422302286_385725e3cf.jpg#2
1269	7111	S1S3_inter	A small girl is riding in a toy car	S1_null	There is no child sitting in a red and yellow toy car	S3_null	3.9	CONTRADICTION	A_contradicts_B	B_contradicts_A	small girl riding in play car	there is a child in a red and yellow toy car	FLICKR	FLICKR	TEST	2422302286_385725e3cf.jpg#2
1279	7128	S1S2_inter	A brown dog and a black dog are playing in the sand	S1_null	The black dog is playing with the brown dog on the sand	S2_null	5.0	ENTAILMENT	A_entails_B	B_entails_A	a brown dog and a black dog in the sand	a black dog plays with a brown dog on the sand	FLICKR	FLICKR	TEST	260231029_966e2f1727.jpg#2
1283	7137	S1S3_inter	A woman and three men are posing for a photo	S1_null	Three men and a woman are running away from a picture	S3_null	3.0	CONTRADICTION	A_contradicts_B	B_contradicts_A	a woman and three men are posing for a photo	three men and a woman posing for picture	FLICKR	FLICKR	TEST	3721812313_6000566803.jpg#1
1292	7158	S1S3_inter	The black dog is walking through the tall grass	S1_null	The black dog is not running through the grass	S3_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	the black dog is walking through the tall grass	the black dog is running through the grass	FLICKR	FLICKR	TEST	1361420539_e9599c60ae.jpg#4
1313	7190	S1S2_inter	Two small boys dressed in tuxedos are sitting on a red carpeted floor	S1_null	Two little kids are wearing tuxedos	S2_null	4.5	ENTAILMENT	A_entails_B	B_neutral_A	two little boys in tuxedos	two small boys dressed in tuxedos sitting on a red carpeted floor	FLICKR	FLICKR	TEST	2638981862_6b23833f37.jpg#0
1314	7192	S1S1_inter	Two small boys dressed in tuxedos are sitting on a red carpeted floor	S1_null	Two little boys are wearing tuxedos	S1_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	two little boys in tuxedos	two small boys dressed in tuxedos sitting on a red carpeted floor	FLICKR	FLICKR	TEST	2638981862_6b23833f37.jpg#0
1317	7191	S1S3_inter	Two small boys dressed in tuxedos are sitting on a red carpeted floor	S1_null	Two little boys are not wearing tuxedos	S3_null	2.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	two small boys dressed in tuxedos sitting on a red carpeted floor	two little boys in tuxedos	FLICKR	FLICKR	TEST	2638981862_6b23833f37.jpg#1
1327	7212	S1S1_inter	A dog with a muzzle and a blue jacket is running around the yard	S1_null	A dog with a blue blanket is running through the grass	S1_null	3.7	ENTAILMENT	A_entails_B	B_neutral_A	a dog with a blue blanket runs through the grass	a dog with a muzzle and blue jacket runs around the yard	FLICKR	FLICKR	TEST	2393410666_b8c20fff61.jpg#2
1328	7206	S1S4_intra	A dog with a muzzle and a blue jacket is running around the yard	S1_null	A dog with a blue muzzle is running around the yard with a jacket	S4_ws	3.8	NEUTRAL	A_neutral_B	B_neutral_A	a dog with a muzzle and blue jacket runs around the yard	a dog with a muzzle and blue jacket runs around the yard	FLICKR	FLICKR	TEST	2393410666_b8c20fff61.jpg#3
1355	7260	S1S2_inter	The man is doing a wheelie on a mountain bike	S1_null	A person on a bike is riding on one wheel only	S2_null	4.5	ENTAILMENT	A_entails_B	B_neutral_A	a man is doing a wheelie on a mountain bike	man on a bicycle riding on only one wheel	FLICKR	FLICKR	TEST	990890291_afc72be141.jpg#1
1356	7261	S1S3_inter	The man is doing a wheelie on a mountain bike	S1_null	There is no man on a bicycle riding on one wheel only	S3_null	4.1	CONTRADICTION	A_contradicts_B	B_contradicts_A	a man is doing a wheelie on a mountain bike	man on a bicycle riding on only one wheel	FLICKR	FLICKR	TEST	990890291_afc72be141.jpg#1
1358	7265	S1S1_inter	The man is doing a wheelie on a mountain bike	S1_null	A man on a bicycle is riding on one wheel only	S1_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	a man is doing a wheelie on a mountain bike	man on a bicycle riding on only one wheel	FLICKR	FLICKR	TEST	990890291_afc72be141.jpg#1
1366	7288	S1S4_intra	The elderly lady is waiting on the sidewalk	S1_null	The elderly person is waiting a lady on the sidewalk	S4_ws	3.6	NEUTRAL	A_neutral_B	B_neutral_A	the elderly lady waits on the sidewalk	the elderly lady waits on the sidewalk	FLICKR	FLICKR	TEST	2307807200_91fa29cba1.jpg#4
1371	7303	S1S1_inter	A young child is running down a gravel road that is covered with dead leaves	S1_null	A young child is running outside over the fallen leaves	S1_null	4.1	ENTAILMENT	A_entails_B	B_neutral_A	a young child runs down a gravel road covered with dead leaves	a young child runs outside amidst fall leaves	FLICKR	FLICKR	TEST	2571096893_694ce79768.jpg#1
1392	7342	S1S4_inter	The men are climbing a mountain	S1_null	One climber is holding a rock and another man is roping a wall	S4_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	two men climbing a mountain	one man is climbing a rock wall, while another man, below, holds a rope	FLICKR	FLICKR	TEST	405534893_2d0f3b0147.jpg#4
1396	7351	S1S2_inter	Two children are playing on a statue	S1_null	Small kids are climbing a statue in a park	S2_null	4.2	ENTAILMENT	A_entails_B	B_neutral_A	two children playing on a statue	small children climb a statue in a park	FLICKR	FLICKR	TEST	1428681303_04213524e3.jpg#3
1399	7354	S1S2_inter	Small children are climbing a statue in a park	S1_null	Some children are playing on a statue	S2_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	small children climb a statue in a park	two children playing on a statue	FLICKR	FLICKR	TEST	1428681303_04213524e3.jpg#1
1415	7385	S1S1_inter	A smiling boy in winter clothes is waving his mittened hands outside a building in the snow	S1_null	A young child dressed for cold weather is standing outside	S1_null	4.1	ENTAILMENT	A_entails_B	B_neutral_A	a smiling boy in winter clothes waves his mittened hands outside a building in the snow	a young child dressed for cold weather is outside	FLICKR	FLICKR	TEST	2171576939_d1e72daab2.jpg#2
1425	7403	S1S1_inter	A man and a child are kayaking through gentle waters	S1_null	A man and a young boy are riding in a yellow kayak	S1_null	4.4	NEUTRAL	A_neutral_B	B_neutral_A	a man and child kayak through gentle waters	a man and young boy ride in a yellow kayak	FLICKR	FLICKR	TEST	1028205764_7e8df9a2ea.jpg#2
1430	7415	S1S4_intra	A dog is chasing a ball in the grass	S1_null	A dog with a ball is being chased in the grass	S4_ws	3.1	NEUTRAL	A_neutral_B	B_neutral_A	a dog chases a nerf ball in the grass	a dog chases a nerf ball in the grass	FLICKR	FLICKR	TEST	3561433412_3985208d53.jpg#0
1447	7435	S1S2_intra	The bearded man is sitting on a train	S1_null	The hairy man is sitting on a train	S2_lex	4.0	NEUTRAL	A_neutral_B	B_neutral_A	a bearded man on a train	a bearded man on a train	FLICKR	FLICKR	TEST	2985679744_75a7102aab.jpg#0
1450	7443	S1S3_intra	A small child is showing excitement on a swing set at the park	S1_null	A small child is showing boredom on a swing set at the park	S3_so	3.8	NEUTRAL	A_neutral_B	B_neutral_A	a small child shows excitement on a swing set at the park	a small child shows excitement on a swing set at the park	FLICKR	FLICKR	TEST	2977246776_b14be8290d.jpg#2
1451	7449	S1S3_inter	A small child is showing excitement on a swing set at the park	S1_null	The little girl is not swinging and the woman is not standing behind her	S3_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	a small child shows excitement on a swing set at the park	a little girl swings, a woman stands behind her	FLICKR	FLICKR	TEST	2977246776_b14be8290d.jpg#2
1455	7447	S1S4_intra	The little girl is swinging and the woman is standing behind her	S1_null	The girl is standing behind the little woman who is swinging	S4_ws	3.4	CONTRADICTION	A_contradicts_B	B_contradicts_A	a little girl swings, a woman stands behind her	a little girl swings, a woman stands behind her	FLICKR	FLICKR	TEST	2977246776_b14be8290d.jpg#0
1458	7460	S1S2_inter	A man is performing a trick on a surfboard in the water	S1_null	The wave is being ridden by a surfer	S2_null	3.9	NEUTRAL	A_neutral_B	B_neutral_A	a man performs a trick on a surfboard in the water	a surfer rides the wave	FLICKR	FLICKR	TEST	3073535022_4af81f360c.jpg#0
1459	7465	S1S1_inter	A surfer is riding the wave	S1_null	A man is performing a trick on a surfboard in the water	S1_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	a man performs a trick on a surfboard in the water	a surfer rides the wave	FLICKR	FLICKR	TEST	3073535022_4af81f360c.jpg#0
1463	7473	S1S2_inter	A man and two women in a darkened room are sitting at a table with candles	S1_null	The group of people is sitting in a room which is dim	S2_null	4.5	ENTAILMENT	A_entails_B	B_neutral_A	a man and two women sit in a darkened room at a table with candles	a group of people in a dim room	FLICKR	FLICKR	TEST	3266399073_40820596d5.jpg#1
1466	7478	S1S3_intra	A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles	S1_null	There are no men sitting at the table with four beer bottles	S3_od	2.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	a man in a white shirt and sunglasses and a man in a black shirt and sunglasses sit at a table with four beer bottles	a man in a white shirt and sunglasses and a man in a black shirt and sunglasses sit at a table with four beer bottles	FLICKR	FLICKR	TEST	3416339125_0860d3d1eb.jpg#0
1471	7484	S1S3_inter	Two guys are sitting around a table and holding beers in their hands	S1_null	There are no men sitting at the table with four beer bottles	S3_null	3.0	CONTRADICTION	A_contradicts_B	B_contradicts_A	there are two guys sitting around a table, both with beers in their hands	a man in a white shirt and sunglasses and a man in a black shirt and sunglasses sit at a table with four beer bottles	FLICKR	FLICKR	TEST	3416339125_0860d3d1eb.jpg#1
1515	7574	S1S1_inter	A person on a bike is jumping through the air and the sun is flaring through the bike frame	S1_null	The person is flying through the air on a bicycle	S1_null	4.2	ENTAILMENT	A_entails_B	B_neutral_A	a person flying through the air on a bicycle	a person on a bike flies through the air with the sun flaring through the bike frame	FLICKR	FLICKR	TEST	3522076584_7c603d2ac5.jpg#2
1538	7617	S1S4_intra	A woman in a purple top is walking a bicycle between two stone columns	S1_null	A stone woman and bicycle are on top of two purple columns, between which people are walking	S4_ws	2.3	NEUTRAL	A_neutral_B	B_neutral_A	a woman in a purple top is walking a bicycle between two stone columns	a woman in a purple top is walking a bicycle between two stone columns	FLICKR	FLICKR	TEST	3068994801_b2bc079e67.jpg#2
1545	7624	S1S4_inter	A girl dressed in purple and blue is walking beside her bike at night	S1_null	A stone woman and bicycle are on top of two purple columns, between which people are walking	S4_null	1.8	NEUTRAL	A_neutral_B	B_neutral_A	a girl dressed in purple and blue walks beside her bike at night	a woman in a purple top is walking a bicycle between two stone columns	FLICKR	FLICKR	TEST	3068994801_b2bc079e67.jpg#0
1551	7632	S1S2_inter	A man is wearing a red jacket and standing beside a yellow canoe on some rocks with water in the background	S1_null	The man in the red jacket is standing next to the yellow kayak on some rocks by the ocean	S2_null	3.9	ENTAILMENT	A_entails_B	B_entails_A	a man wearing a red jacket standing beside a yellow canoe on some rocks with water in the background	a man in a red jacket stands next to a yellow kayak on rocks by the ocean	FLICKR	FLICKR	TEST	2641770481_c98465ff35.jpg#3
1554	7640	S1S2_inter	The black dog is walking along a tree trunk bridge over water	S1_null	A river is being crossed by a dog on a bridge made from a fallen tree	S2_null	4.2	ENTAILMENT	A_entails_B	B_neutral_A	the black dog is walking along a tree trunk bridge over water	a dog crossing a river on a bridge made of a fallen tree	FLICKR	FLICKR	TEST	247704641_d883902277.jpg#3
1557	7645	S1S1_inter	The black dog is walking along a tree trunk bridge over water	S1_null	A dog is crossing a river on a bridge made from a fallen tree	S1_null	4.4	NEUTRAL	A_neutral_B	B_neutral_A	the black dog is walking along a tree trunk bridge over water	a dog crossing a river on a bridge made of a fallen tree	FLICKR	FLICKR	TEST	247704641_d883902277.jpg#3
1571	7674	S1S1_inter	The man is doing a handstand on the wet sand at the edge of the water at the beach	S1_null	A man is performing a handstand on the beach	S1_null	4.1	ENTAILMENT	A_entails_B	B_entails_A	the male is doing a handstand on the wet sand at the edge of the water at the beach	a man is performing a handstand on the beach	FLICKR	FLICKR	TEST	3398746625_5199beea71.jpg#4
1572	7676	S1S3_intra	A young boy is playing in the park with his mother	S1_null	There is no young boy playing in the park with his mother	S3_od	2.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	a young boy is playing in the park with his mother	a young boy is playing in the park with his mother	FLICKR	FLICKR	TEST	3263141261_db3a4798b5.jpg#4
1576	7679	S1S3_intra	A boy in blue is running away from a woman in blue	S1_null	A boy in blue is running towards a woman in blue	S3_so	3.7	NEUTRAL	A_contradicts_B	B_neutral_A	a boy in blue runs away from a woman in blue	a boy in blue runs away from a woman in blue	FLICKR	FLICKR	TEST	3263141261_db3a4798b5.jpg#0
1580	7690	S1S2_inter	A little boy with brown hair is jumping off of a brown chair onto the floor	S1_null	A young boy is quickly jumping off a chair	S2_null	4.1	ENTAILMENT	A_entails_B	B_neutral_A	a little boy with brown hair jumped off of a brown chair onto the floor	a young boy jumping off a chair	FLICKR	FLICKR	TEST	2823200990_7b02b7cc36.jpg#2
1582	7694	S1S1_inter	A little boy with brown hair is jumping off of a brown chair onto the floor	S1_null	A young boy is jumping off a chair	S1_null	4.2	ENTAILMENT	A_entails_B	B_neutral_A	a little boy with brown hair jumped off of a brown chair onto the floor	a young boy jumping off a chair	FLICKR	FLICKR	TEST	2823200990_7b02b7cc36.jpg#2
1609	7738	S1S3_intra	A dog is playing alone on a beach covered by snow	S1_null	A dog is sleeping on a beach covered by snow	S3_so	2.9	NEUTRAL	A_contradicts_B	B_neutral_A	a dog is playing by itself on a beach that has recently seen snowfall	a dog is playing by itself on a beach that has recently seen snowfall	FLICKR	FLICKR	TEST	426191845_1e979e9345.jpg#0
1618	7748	S1S3_intra	A great dog is climbing a steep hill	S1_null	A great dog is getting down a steep hill	S3_so	3.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	a great dane climbing a steep hill	a great dane climbing a steep hill	FLICKR	FLICKR	TEST	2738077433_10e6264b6f.jpg#2
1629	7773	S1S4_inter	A surfer is riding a big wave across dark green water	S1_null	The big surfer is riding and waving	S4_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	a surfer rides a big wave across dark green water	the surfer is coming in from riding a big wave	FLICKR	FLICKR	TEST	3214151585_f2d0b00b41.jpg#3
1649	7812	S1S1_inter	A man is squatting in brush and taking a photograph	S1_null	A man is crouching and holding a camera	S1_null	4.3	ENTAILMENT	A_entails_B	B_neutral_A	a man crouching and holding a camera	a man is squatting in brush to take a photograph	FLICKR	FLICKR	TEST	708945669_08e7ffb9a7.jpg#1
1670	7845	S1S3_inter	A man on a motorcycle is riding on a track and waving	S1_null	The person on the motorcycle is not holding up an arm	S3_null	3.5	CONTRADICTION	A_contradicts_B	B_contradicts_A	a man on a motorcycle riding on a track and waving	the person on the motorcycle is holding up his arm	FLICKR	FLICKR	TEST	2911928620_06c3fa293e.jpg#1
1692	7882	S1S2_inter	Three people are driving ATVs	S1_null	Three people are driving four wheel vehicles in a field	S2_null	4.2	ENTAILMENT	A_entails_B	B_neutral_A	three people drive atvs	three people on four wheel atv's in a field	FLICKR	FLICKR	TEST	109823394_83fcb735e1.jpg#0
1696	7885	S1S3_inter	Three people are driving four wheel ATVs in a field	S1_null	There are no people driving ATVs	S3_null	3.3	CONTRADICTION	A_contradicts_B	B_contradicts_A	three people on four wheel atv's in a field	three people drive atvs	FLICKR	FLICKR	TEST	109823394_83fcb735e1.jpg#3
1709	7907	S1S4_intra	A dog is jumping at a shiny blue soccer ball in a field of dry leaves	S1_null	A dog is jumping at dry leaves in a field of shiny blue soccer balls	S4_ws	3.5	NEUTRAL	A_neutral_B	B_neutral_A	a dog jumps at a shiny blue soccer ball in a field of dry leaves	a dog jumps at a shiny blue soccer ball in a field of dry leaves	FLICKR	FLICKR	TEST	312156254_ef31dca5ed.jpg#3
1720	7922	S1S2_inter	A dog is running through a field and is chasing a ball	S1_null	A dog is running towards a toy	S2_null	4.1	ENTAILMENT	A_entails_B	B_neutral_A	a dog runs through a field chasing a ball	a dog is running towards a ball	FLICKR	FLICKR	TEST	895502702_5170ada2ee.jpg#4
1741	7960	S1S1_inter	A basketball player is on the court floor and another one is grabbing the ball	S1_null	Two basketball players are scrambling for the ball on the court	S1_null	4.3	ENTAILMENT	A_entails_B	B_neutral_A	two basketball players are scrambling for the ball on the court	basketball player has fallen on the court while another grabs at the ball from out of frame	FLICKR	FLICKR	TEST	2529205842_bdcb49d65b.jpg#1
1746	7965	S1S3_intra	A black sheep is standing near three white dogs	S1_null	A black sheep is standing far from three white dogs	S3_so	3.5	CONTRADICTION	A_contradicts_B	B_contradicts_A	a black sheep with three white dogs	a black sheep with three white dogs	FLICKR	FLICKR	TEST	3357937209_cf4a9512ac.jpg#0
1751	7975	S1S3_intra	A grey dog is jumping toward a black and white dog in the snow	S1_null	A grey dog is jumping toward a black and white dog in the water	S3_so	3.5	NEUTRAL	A_neutral_B	B_neutral_A	a grey dog is jumping toward a black and white dog in the snow	a grey dog is jumping toward a black and white dog in the snow	FLICKR	FLICKR	TEST	2056042552_f59e338533.jpg#0
1766	8011	S1S3_intra	A man dressed in black and white is holding up the tennis racket and is waiting for the ball	S1_null	A man dressed in black and white is dropping the tennis racket and is waiting for the ball	S3_so	4.0	CONTRADICTION	A_contradicts_B	B_contradicts_A	man dressed in black and white holds his tennis racket up waiting for the ball	man dressed in black and white holds his tennis racket up waiting for the ball	FLICKR	FLICKR	TEST	3420278866_1d17c12713.jpg#3
1780	8042	S1S3_inter	The young boy in the blue shirt is jumping into the water	S1_null	A young girl is jumping into a still lake	S3_null	2.2	NEUTRAL	A_neutral_B	B_neutral_A	the young boy in the blue shirt is jumping into the water	a young boy jumping into a still lake	FLICKR	FLICKR	TEST	2138487671_5b89104043.jpg#4
